LineId,Content,EventId,EventTemplate
176,INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: Copying from /tmp/hadoop-james/nm-local-dir/nmPrivate/container_1514193106348_0001_01_000001.tokens to /tmp/hadoop-james/nm-local-dir/usercache/james/appcache/application_1514193106348_0001/container_1514193106348_0001_01_000001.tokens,P12,INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: Copying from .* to .*
177,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalizedResource: Resource hdfs://deimos26:9000/tmp/hadoop-yarn/staging/james/.staging/job_1514193106348_0001/job.xml(->/tmp/hadoop-james/nm-local-dir/usercache/james/appcache/application_1514193106348_0001/filecache/13/job.xml) transitioned from DOWNLOADING to LOCALIZED,P27,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.LocalizedResource: Resource .* transitioned from DOWNLOADING to LOCALIZED
178,"INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: launchContainer: [nice, -n, 0, bash, /tmp/hadoop-james/nm-local-dir/usercache/james/appcache/application_1514193106348_0001/container_1514193106348_0001_01_000397/default_container_executor.sh]",P21,"INFO org.apache.hadoop.yarn.server.nodemanager.DefaultContainerExecutor: launchContainer: [nice, -n, .*, bash, .*]"
179,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl: Memory usage of ProcessTree 19497 for container-id container_1514193106348_0001_01_000049: 152.5 MB of 2 GB physical memory used; 1.8 GB of 4.2 GB virtual memory used,P10,INFO org.apache.hadoop.yarn.server.nodemanager.containermanager.monitor.ContainersMonitorImpl: Memory usage of ProcessTree .* for container-id .*: .* of .* physical memory used; .* of .* virtual memory used
180,INFO org.apache.hadoop.yarn.server.nodemanager.NMAuditLogger: USER=james	IP=155.230.91.226	OPERATION=Stop Container Request	TARGET=ContainerManageImpl	RESULT=SUCCESS	APPID=application_1514193106348_0001	CONTAINERID=container_1514193106348_0001_01_000001,P11,INFO org.apache.hadoop.yarn.server.nodemanager.NMAuditLogger: USER=.* IP=.* OPERATION=.* Container Request TARGET=.* RESULT=.* APPID=.* CONTAINERID=.*
181,WARN org.apache.hadoop.hdfs.server.common.Util: Path /home/james/hadoop-2.7.4/hdfs/name should be specified as a URI in configuration files. Please update hdfs configuration.,P18,WARN org.apache.hadoop.hdfs.server.common.Util: Path .* should be specified as a URI in configuration files. Please update hdfs configuration.
182,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(155.230.91.229:50010, datanodeUuid=f2a4a3d9-cbe6-4687-ab71-97575b443a1e, infoPort=50075, infoSecurePort=0, ipcPort=50020, storageInfo=lv=-56;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0) storage f2a4a3d9-cbe6-4687-ab71-97575b443a1e",P16,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* registerDatanode: from DatanodeRegistration(.*, datanodeUuid=.*, infoPort=.*, infoSecurePort=.*, ipcPort=.*, storageInfo=lv=.*;cid=.*;nsid=.*;c=.*) storage .*"
183,"INFO BlockStateChange: BLOCK* processReport 0x12c3a35b9bd2d: from storage DS-38949667-c925-4369-bce1-6383ea78fbae node DatanodeRegistration(155.230.91.229:50010, datanodeUuid=f2a4a3d9-cbe6-4687-ab71-97575b443a1e, infoPort=50075, infoSecurePort=0, ipcPort=50020, storageInfo=lv=-56;cid=CID-67a9e234-1cae-4dcb-8e24-0e8474f4b685;nsid=1045414110;c=0), blocks: 510, hasStaleStorage: false, processing time: 21 msecs",P29,"INFO BlockStateChange: BLOCK* processReport .*: from storage .* node DatanodeRegistration(.*, datanodeUuid=.*, infoPort=.*, infoSecurePort=.*, ipcPort=.*, storageInfo=lv=.*;cid=.*;nsid=.*;c=.*), blocks: .*, hasStaleStorage: false, processing time: .* msecs"
184,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* allocate blk_1073742954_2132{UCState=UNDER_CONSTRUCTION, truncateBlock=null, primaryNodeIndex=-1, replicas=[ReplicaUC[[DISK]DS-1affbaf3-c366-495a-8ef1-9323978258e8:NORMAL:155.230.91.228:50010|RBW], ReplicaUC[[DISK]DS-8c9519c2-2978-4f4b-94c2-c974e94b944f:NORMAL:155.230.91.227:50010|RBW], ReplicaUC[[DISK]DS-38949667-c925-4369-bce1-6383ea78fbae:NORMAL:155.230.91.229:50010|RBW]]} for /tmp/hadoop-yarn/staging/james/.staging/job_1514193106348_0001/job.split",P28,"INFO org.apache.hadoop.hdfs.StateChange: BLOCK* allocate .*{UCState=.*, truncateBlock=.*, primaryNodeIndex=.*, replicas=.*} for .*"
185,"INFO BlockStateChange: BLOCK* addStoredBlock: blockMap updated: 155.230.91.227:50010 is added to blk_1073742954_2132{UCState=UNDER_CONSTRUCTION, truncateBlock=null, primaryNodeIndex=-1, replicas=[ReplicaUC[[DISK]DS-1affbaf3-c366-495a-8ef1-9323978258e8:NORMAL:155.230.91.228:50010|RBW], ReplicaUC[[DISK]DS-8c9519c2-2978-4f4b-94c2-c974e94b944f:NORMAL:155.230.91.227:50010|RBW], ReplicaUC[[DISK]DS-38949667-c925-4369-bce1-6383ea78fbae:NORMAL:155.230.91.229:50010|RBW]]} size 0",P17,INFO BlockStateChange: BLOCK* addStoredBlock: blockMap updated: .* is added to .* size .*
